2024-07-29 11:10:43,047 ERROR [STDERR] Неизвестный ИД системы; Номер строки11; Номер столбца17; RAN attr-value-forwardee           ON xs:element           NAMED short                OF TYPE xs:short            
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.ServletContainerDispatcher.service(ServletContainerDispatcher.java:208)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:55)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:50)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:803)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor148.invoke(Unknown Source)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:162)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:283)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:189)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:185)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.web.tomcat.filters.ReplyHeaderFilter.doFilter(ReplyHeaderFilter.java:96)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor149.invoke(Unknown Source)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:218)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:230)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:189)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:185)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:230)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:175)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.web.tomcat.security.SecurityAssociationValve.invoke(SecurityAssociationValve.java:179)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:524)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.web.tomcat.security.JaccContextValve.invoke(JaccContextValve.java:84)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:127)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.jboss.web.tomcat.service.jca.CachedConnectionValve.invoke(CachedConnectionValve.java:157)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:262)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:844)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler.process(Http11Protocol.java:583)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at org.apache.tomcat.util.net.JIoEndpoint$Worker.run(JIoEndpoint.java:446)
2024-07-29 12:55:07,852 ERROR [STDERR] 	at java.lang.Thread.run(Thread.java:750)
2024-07-29 12:55:08,858 ERROR [STDERR] java.lang.NullPointerException
2024-07-29 12:55:08,858 ERROR [STDERR] 	at com.geocad.wc.sfw.xfiles.XFilesOpsXml.printXFileDescriptor(XFilesOpsXml.java:170)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at com.geocad.wc.sfw.xfiles.XFilesOpsXml.createXFile(XFilesOpsXml.java:292)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at com.geocad.wc.sfw.api.files.XFileService.createXFileNew(XFileService.java:93)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at com.geocad.wc.sfw.api.xml.XmlService.setXmlDocument(XmlService.java:191)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at com.geocad.wc.sfw.api.xml.XmlResource.setXmlDocument(XmlResource.java:123)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor343.invoke(Unknown Source)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.MethodInjectorImpl.invoke(MethodInjectorImpl.java:167)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invokeOnTarget(ResourceMethod.java:269)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invoke(ResourceMethod.java:227)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invoke(ResourceMethod.java:216)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.getResponse(SynchronousDispatcher.java:542)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:524)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:126)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.ServletContainerDispatcher.service(ServletContainerDispatcher.java:208)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:55)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:50)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:803)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor148.invoke(Unknown Source)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:162)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:283)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:189)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:185)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.jboss.web.tomcat.filters.ReplyHeaderFilter.doFilter(ReplyHeaderFilter.java:96)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor149.invoke(Unknown Source)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:218)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:230)
2024-07-29 12:55:08,858 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:189)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:185)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:230)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:175)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.jboss.web.tomcat.security.SecurityAssociationValve.invoke(SecurityAssociationValve.java:179)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:524)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.jboss.web.tomcat.security.JaccContextValve.invoke(JaccContextValve.java:84)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:127)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.jboss.web.tomcat.service.jca.CachedConnectionValve.invoke(CachedConnectionValve.java:157)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:262)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:844)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler.process(Http11Protocol.java:583)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at org.apache.tomcat.util.net.JIoEndpoint$Worker.run(JIoEndpoint.java:446)
2024-07-29 12:55:08,873 ERROR [STDERR] 	at java.lang.Thread.run(Thread.java:750)
2024-07-29 12:55:11,423 ERROR [STDERR] java.lang.NullPointerException
2024-07-29 12:55:11,423 ERROR [STDERR] 	at com.geocad.wc.sfw.xfiles.XFilesOpsXml.printXFileDescriptor(XFilesOpsXml.java:170)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at com.geocad.wc.sfw.xfiles.XFilesOpsXml.createXFile(XFilesOpsXml.java:292)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at com.geocad.wc.sfw.api.files.XFileService.createXFileNew(XFileService.java:93)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at com.geocad.wc.sfw.api.xml.XmlService.setXmlDocument(XmlService.java:191)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at com.geocad.wc.sfw.api.xml.XmlResource.setXmlDocument(XmlResource.java:123)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor343.invoke(Unknown Source)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.MethodInjectorImpl.invoke(MethodInjectorImpl.java:167)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invokeOnTarget(ResourceMethod.java:269)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invoke(ResourceMethod.java:227)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invoke(ResourceMethod.java:216)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.getResponse(SynchronousDispatcher.java:542)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:524)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:126)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.ServletContainerDispatcher.service(ServletContainerDispatcher.java:208)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:55)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:50)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:803)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor148.invoke(Unknown Source)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:11,424 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:162)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:283)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:189)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:185)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.jboss.web.tomcat.filters.ReplyHeaderFilter.doFilter(ReplyHeaderFilter.java:96)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor149.invoke(Unknown Source)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:218)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:230)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain$1.run(ApplicationFilterChain.java:189)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:185)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:230)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:175)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.jboss.web.tomcat.security.SecurityAssociationValve.invoke(SecurityAssociationValve.java:179)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:524)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.jboss.web.tomcat.security.JaccContextValve.invoke(JaccContextValve.java:84)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:127)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.jboss.web.tomcat.service.jca.CachedConnectionValve.invoke(CachedConnectionValve.java:157)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:262)
2024-07-29 12:55:11,425 ERROR [STDERR] 	at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:844)
2024-07-29 12:55:11,426 ERROR [STDERR] 	at org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler.process(Http11Protocol.java:583)
2024-07-29 12:55:11,426 ERROR [STDERR] 	at org.apache.tomcat.util.net.JIoEndpoint$Worker.run(JIoEndpoint.java:446)
2024-07-29 12:55:11,426 ERROR [STDERR] 	at java.lang.Thread.run(Thread.java:750)
2024-07-29 12:55:19,561 ERROR [STDERR] SEVERE: GEEFormAuthenticator.authenticate : Login from GET-request. IP = 127.0.0.1
2024-07-29 12:55:24,176 ERROR [STDERR] org.xml.sax.SAXParseException; Premature end of file.
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.util.ErrorHandlerWrapper.createSAXParseException(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.util.ErrorHandlerWrapper.fatalError(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.impl.XMLErrorReporter.reportError(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.impl.XMLErrorReporter.reportError(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.impl.XMLVersionDetector.determineDocVersion(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.parsers.XML11Configuration.parse(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.parsers.XML11Configuration.parse(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.parsers.XMLParser.parse(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.parsers.AbstractSAXParser.parse(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at org.apache.xerces.jaxp.SAXParserImpl$JAXPSAXParser.parse(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at javax.xml.parsers.SAXParser.parse(SAXParser.java:392)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at com.geocad.wc.sfw.api.factDescriptor.FactDescriptorBuilder.getLightShortFields(FactDescriptorBuilder.java:240)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at com.geocad.wc.sfw.api.factDescriptor.FactDescriptorBuilder.getFactMetamodel(FactDescriptorBuilder.java:136)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at com.geocad.wc.sfw.api.factDescriptor.FactDescriptorBuilder.getFactMetamodelById(FactDescriptorBuilder.java:39)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at com.geocad.wc.sfw.api.factDescriptor.FactDescriptorService.getById(FactDescriptorService.java:33)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at com.geocad.wc.sfw.api.factDescriptor.FactDescriptorResource.getById(FactDescriptorResource.java:57)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor324.invoke(Unknown Source)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:24,177 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.MethodInjectorImpl.invoke(MethodInjectorImpl.java:167)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invokeOnTarget(ResourceMethod.java:269)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invoke(ResourceMethod.java:227)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.ResourceMethod.invoke(ResourceMethod.java:216)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.getResponse(SynchronousDispatcher.java:542)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:524)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:126)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.ServletContainerDispatcher.service(ServletContainerDispatcher.java:208)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:55)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:50)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:803)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at sun.reflect.GeneratedMethodAccessor148.invoke(Unknown Source)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at java.lang.reflect.Method.invoke(Method.java:498)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil$1.run(SecurityUtil.java:244)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at java.security.AccessController.doPrivileged(Native Method)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at javax.security.auth.Subject.doAsPrivileged(Subject.java:549)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.execute(SecurityUtil.java:276)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.apache.catalina.security.SecurityUtil.doAsPrivilege(SecurityUtil.java:162)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:283)
2024-07-29 12:55:24,178 ERROR [STDERR] 	at org.apache.catalina.core.ApplicationFilterChain.access$000(ApplicationFilterChain.java:56)
